element,protons,nuetrons,electrons,NueConfigNumb,ProtElectConfigNumb,periodic x,periodic y,ProtElectConfig,NueConfig,half,halfCat,magicPro,magicNue
rutherfordium,104,159,104,62142,6.21E+13,4,7,[Rn] 7s2 5f14 6d2,[Rn] 7s2 5f14 6d10 7p6 8s2  5g18 6f14 7d10,900,3,0,0
phosphorus,15,18,15,223,224,15,3,[Ne] 3s2 3p3,[Ne] 3s2 3p4,2185920,5,0,0
barium,56,74,56,52,5214101,2,6,[Xe] 6s2,[Xe] 6s2 4f14 5d10 6p1,5.05E+28,6,0,0
selenium,34,38,34,32104,327,16,4,[Ar] 4s2 3d10 4p4,[Kr] 5s2 4d7,725760,5,0,0
berkelium,97,152,97,629,62141062185,12,7,[Rn] 7s2 5f9,[Rn] 7s2 5f14 6d10 7p6 8s2  5g18 6f5,28510000,5,0,0
livermorium,116,175,116,6214104,6.21E+15,16,7,[Rn] 7s2 5f14 6d10 7p4,[Rn] 7s2 5f14 6d10 7p6 8s2  5g18 6f14 7d10 8p6 6g2,1080,3,0,0
praseodymium,59,84,59,523,5214102,6,7,[Xe] 6s2 4f3,[Xe] 6s2 4f14 5d10 6p2,1172448,5,0,0
nickel,28,35,28,328,32101,10,4,[Ar] 4s2 3d8,[Ar] 4s2 3d10 4p1,3.15E+09,5,1,0
curium,96,147,96,628,62141062186,11,7,[Rn] 7s2 5f8,[Rn] 7s2 5f14 6d10 7p6 8s2  5g18 6f6,9.18E+08,5,0,0
uranium,92,143,92,624,62141062181,7,7,[Rn] 7s2 5f4,[Rn] 7s2 5f14 6d10 7p6 8s2  5g18 6f1,2.23E+16,6,0,0
cesium,55,82,55,51,52148,1,6,[Xe] 6s1,[Xe] 6s2 4f14 5d8,9.51E+08,5,0,1
lawrencium,103,152,103,62141,6.21E+12,18,7,[Rn] 7s2 5f14 6d1,[Rn] 7s2 5f14 6d10 7p6 8s2  5g18 6f14 7d7,2.15E+01,2,1,1
gallium,31,36,31,32101,421,13,4,[Ar] 4s2 3d10 4p1,[Kr] 5s2 4d1,285120,5,0,0
astatine,85,124,85,5214105,6214106,17,6,[Xe] 6s2 4f14 5d10 6p5,[Rn] 7s2 5f14 6d10 7p6 ,19476,4,0,1
lanthanum,57,81,57,521,5214104,3,6,[Xe] 6s2 4f1,[Xe] 6s2 4f14 5d10 6p4,3.31E+18,6,0,0
